Id,Population Group,Id,Id2,Geography,Average family size
1,Total population,1580000US3651000005015500,3651000005015500,"Census Tract 155, Bronx County, New York city, New York",3.68
1,Total population,1580000US3651000005015600,3651000005015600,"Census Tract 156, Bronx County, New York city, New York",3.05
1,Total population,1580000US3651000005015700,3651000005015700,"Census Tract 157, Bronx County, New York city, New York",3.66
1,Total population,1580000US3651000005015800,3651000005015800,"Census Tract 158, Bronx County, New York city, New York",3.08
1,Total population,1580000US3651000005016000,3651000005016000,"Census Tract 160, Bronx County, New York city, New York",3.04
1,Total population,1580000US3651000005016100,3651000005016100,"Census Tract 161, Bronx County, New York city, New York",3.29
1,Total population,1580000US3651000005016200,3651000005016200,"Census Tract 162, Bronx County, New York city, New York",3.13
1,Total population,1580000US3651000005016300,3651000005016300,"Census Tract 163, Bronx County, New York city, New York",0
1,Total population,1580000US3651000005016400,3651000005016400,"Census Tract 164, Bronx County, New York city, New York",3.25
1,Total population,1580000US3651000005016500,3651000005016500,"Census Tract 165, Bronx County, New York city, New York",3.37
1,Total population,1580000US3651000005016600,3651000005016600,"Census Tract 166, Bronx County, New York city, New York",3.22
1,Total population,1580000US3651000005016700,3651000005016700,"Census Tract 167, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005016900,3651000005016900,"Census Tract 169, Bronx County, New York city, New York",3.24
1,Total population,1580000US3651000005017300,3651000005017300,"Census Tract 173, Bronx County, New York city, New York",3.61
1,Total population,1580000US3651000005017500,3651000005017500,"Census Tract 175, Bronx County, New York city, New York",3.4
1,Total population,1580000US3651000005017700,3651000005017700,"Census Tract 177, Bronx County, New York city, New York",3.45
1,Total population,1580000US3651000005017900,3651000005017900,"Census Tract 179, Bronx County, New York city, New York",3.67
1,Total population,1580000US3651000005018100,3651000005018100,"Census Tract 181, Bronx County, New York city, New York",3.59
1,Total population,1580000US3651000005018300,3651000005018300,"Census Tract 183, Bronx County, New York city, New York",3.37
1,Total population,1580000US3651000005018400,3651000005018400,"Census Tract 184, Bronx County, New York city, New York",3.02
1,Total population,1580000US3651000005018900,3651000005018900,"Census Tract 189, Bronx County, New York city, New York",3.38
1,Total population,1580000US3651000005019300,3651000005019300,"Census Tract 193, Bronx County, New York city, New York",3.45
1,Total population,1580000US3651000005019400,3651000005019400,"Census Tract 194, Bronx County, New York city, New York",3.3
1,Total population,1580000US3651000005019500,3651000005019500,"Census Tract 195, Bronx County, New York city, New York",3.51
1,Total population,1580000US3651000005019600,3651000005019600,"Census Tract 196, Bronx County, New York city, New York",3.77
1,Total population,1580000US3651000005019700,3651000005019700,"Census Tract 197, Bronx County, New York city, New York",3.84
1,Total population,1580000US3651000005019800,3651000005019800,"Census Tract 198, Bronx County, New York city, New York",3.35
1,Total population,1580000US3651000005019900,3651000005019900,"Census Tract 199, Bronx County, New York city, New York",3.48
1,Total population,1580000US3651000005020100,3651000005020100,"Census Tract 201, Bronx County, New York city, New York",3.34
1,Total population,1580000US3651000005020200,3651000005020200,"Census Tract 202, Bronx County, New York city, New York",3.22
1,Total population,1580000US3651000005020400,3651000005020400,"Census Tract 204, Bronx County, New York city, New York",3.27
1,Total population,1580000US3651000005020500,3651000005020500,"Census Tract 205, Bronx County, New York city, New York",3.38
1,Total population,1580000US3651000005020601,3651000005020601,"Census Tract 206.01, Bronx County, New York city, New York",3.54
1,Total population,1580000US3651000005020602,3651000005020602,"Census Tract 206.02, Bronx County, New York city, New York",3.13
1,Total population,1580000US3651000005020800,3651000005020800,"Census Tract 208, Bronx County, New York city, New York",3.44
1,Total population,1580000US3651000005021000,3651000005021000,"Census Tract 210, Bronx County, New York city, New York",3.03
1,Total population,1580000US3651000005021100,3651000005021100,"Census Tract 211, Bronx County, New York city, New York",3.57
1,Total population,1580000US3651000005021200,3651000005021200,"Census Tract 212, Bronx County, New York city, New York",3.07
1,Total population,1580000US3651000005021301,3651000005021301,"Census Tract 213.01, Bronx County, New York city, New York",3.44
1,Total population,1580000US3651000005021302,3651000005021302,"Census Tract 213.02, Bronx County, New York city, New York",3.54
1,Total population,1580000US3651000005021400,3651000005021400,"Census Tract 214, Bronx County, New York city, New York",3.5
1,Total population,1580000US3651000005021501,3651000005021501,"Census Tract 215.01, Bronx County, New York city, New York",3.66
1,Total population,1580000US3651000005021502,3651000005021502,"Census Tract 215.02, Bronx County, New York city, New York",3.61
1,Total population,1580000US3651000005021601,3651000005021601,"Census Tract 216.01, Bronx County, New York city, New York",3.25
1,Total population,1580000US3651000005021602,3651000005021602,"Census Tract 216.02, Bronx County, New York city, New York",3.08
1,Total population,1580000US3651000005021701,3651000005021701,"Census Tract 217.01, Bronx County, New York city, New York",3.55
1,Total population,1580000US3651000005021702,3651000005021702,"Census Tract 217.02, Bronx County, New York city, New York",3.39
1,Total population,1580000US3651000005021800,3651000005021800,"Census Tract 218, Bronx County, New York city, New York",3.34
1,Total population,1580000US3651000005021900,3651000005021900,"Census Tract 219, Bronx County, New York city, New York",3.63
1,Total population,1580000US3651000005022000,3651000005022000,"Census Tract 220, Bronx County, New York city, New York",3.44
1,Total population,1580000US3651000005022100,3651000005022100,"Census Tract 221, Bronx County, New York city, New York",3.66
1,Total population,1580000US3651000005022300,3651000005022300,"Census Tract 223, Bronx County, New York city, New York",3.52
1,Total population,1580000US3651000005022401,3651000005022401,"Census Tract 224.01, Bronx County, New York city, New York",2.94
1,Total population,1580000US3651000005022402,3651000005022402,"Census Tract 224.02, Bronx County, New York city, New York",3.16
1,Total population,1580000US3651000005022500,3651000005022500,"Census Tract 225, Bronx County, New York city, New York",3.64
1,Total population,1580000US3651000005022701,3651000005022701,"Census Tract 227.01, Bronx County, New York city, New York",3.61
1,Total population,1580000US3651000005022702,3651000005022702,"Census Tract 227.02, Bronx County, New York city, New York",3.49
1,Total population,1580000US3651000005022703,3651000005022703,"Census Tract 227.03, Bronx County, New York city, New York",3.42
