Neighborhoods,MSE,x,y,Avg_Familysize,Avg_ENG,Avg_School,Avg_Income
sunnyside-staten-island,0.000024,-74.103878,40.614627,3.24384615,3306.76923077,70.46153846,0.42689773
castleton-corners,0.000090,-74.119472,40.620629,3.24384615,3306.76923077,70.46153846,0.42689773
westerleigh,0.000334,-74.146384,40.609399,3.24384615,3306.76923077,70.46153846,0.42689773
coney-island,0.000118,-73.978107,40.582297,3.18666667,3815.91666667,69.25000000,0.80172433
brighton-beach,0.000240,-73.978451,40.576690,3.15666667,3078.88888889,26.88888889,0.76134094
arden-heights,0.000166,-74.183952,40.553728,3.42000000,8755.00000000,189.00000000,0.31857523
eltingville,0.000098,-74.167592,40.544782,3.30000000,3967.00000000,70.33333333,0.31194833
annandale,0.000139,-74.185348,40.540394,3.30000000,3967.00000000,70.33333333,0.31194833
huguenot,0.000040,-74.197565,40.541128,3.39000000,6320.00000000,124.66666667,0.33765718
princes-bay,0.000236,-74.210392,40.525730,3.39000000,6320.00000000,124.66666667,0.33765718
flatlands,0.000050,-73.927987,40.623858,3.47431818,2267.29545455,43.95454545,0.49700929
yorkville,0.000033,-73.949227,40.777767,2.70500000,10264.12500000,176.50000000,0.42833534
windsor-terrace,0.006716,-73.897575,40.667899,3.54277778,2719.22222222,71.00000000,0.78532337
prospect-lefferts-gardens,0.000034,-73.950124,40.656582,3.38344828,3849.62068966,85.82758621,0.70122094
east-flatbush,0.000224,-73.939888,40.654265,3.49468750,3073.53125000,67.21875000,0.59505545
carnegie-hill,0.000020,-73.952535,40.782284,2.55769231,7705.07692308,106.92307692,0.29143009
greenwood-heights,0.000020,-73.993562,40.658294,3.40912281,2940.33333333,54.66666667,0.61433541
canarsie,0.001123,-73.876531,40.625220,3.40912281,2940.33333333,54.66666667,0.61433541
south-ozone-park,0.014991,-73.906869,40.602776,3.40912281,2940.33333333,54.66666667,0.61433541
glendale,0.000079,-73.878634,40.699830,3.32345679,3073.66666667,40.56790123,0.54778338
roxbury,0.000158,-73.900998,40.561626,3.32345679,3073.66666667,40.56790123,0.54778338
east-new-york,0.000221,-73.888778,40.665697,3.58069767,2868.93023256,70.18604651,0.73337172
east-williamsburg,0.001278,-73.968653,40.730323,3.47111111,2879.14814815,50.51851852,0.76814475
brownsville,0.000066,-73.914222,40.665296,3.45960000,3466.48000000,91.40000000,0.79411262
murray-hill,0.000011,-73.977217,40.746960,2.47000000,4922.52941176,43.35294118,0.42499092
kips-bay,0.000012,-73.978728,40.742604,2.47000000,4922.52941176,43.35294118,0.42499092
