Id,Population Group,Id,Id2,Geography,Total:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
1,Total population,1580000US3651000005016200,3651000005016200,"Census Tract 162, Bronx County, New York city, New York",588,17,53,22,43,33,26,46,31,16,92,73,57,23,32,24,0
1,Total population,1580000US3651000005016400,3651000005016400,"Census Tract 164, Bronx County, New York city, New York",391,35,37,27,4,22,0,38,10,14,64,14,61,43,10,12,0
1,Total population,1580000US3651000005016500,3651000005016500,"Census Tract 165, Bronx County, New York city, New York",450,210,45,11,27,31,13,0,11,9,36,19,29,0,3,0,6
1,Total population,1580000US3651000005016600,3651000005016600,"Census Tract 166, Bronx County, New York city, New York",833,108,34,56,31,72,47,55,26,48,102,79,65,55,6,35,14
1,Total population,1580000US3651000005016700,3651000005016700,"Census Tract 167, Bronx County, New York city, New York",521,193,75,37,14,23,45,29,17,27,28,0,17,5,0,11,0
1,Total population,1580000US3651000005016900,3651000005016900,"Census Tract 169, Bronx County, New York city, New York",474,197,33,11,53,16,22,19,30,24,27,15,21,0,6,0,0
1,Total population,1580000US3651000005017300,3651000005017300,"Census Tract 173, Bronx County, New York city, New York",1666,612,152,121,148,124,57,74,92,77,66,69,38,0,0,5,31
1,Total population,1580000US3651000005017500,3651000005017500,"Census Tract 175, Bronx County, New York city, New York",2419,1052,184,243,171,153,133,58,135,25,80,99,25,15,0,7,39
1,Total population,1580000US3651000005017700,3651000005017700,"Census Tract 177, Bronx County, New York city, New York",2658,1022,311,199,143,199,101,185,56,21,130,118,56,76,13,14,14
1,Total population,1580000US3651000005017900,3651000005017900,"Census Tract 179, Bronx County, New York city, New York",2476,814,277,222,160,197,166,128,76,117,145,90,45,8,9,10,12
1,Total population,1580000US3651000005018100,3651000005018100,"Census Tract 181, Bronx County, New York city, New York",2651,743,218,252,203,189,217,62,95,80,195,185,145,8,10,9,40
1,Total population,1580000US3651000005018300,3651000005018300,"Census Tract 183, Bronx County, New York city, New York",3184,740,335,260,268,210,260,124,128,154,225,162,159,66,37,27,29
1,Total population,1580000US3651000005018400,3651000005018400,"Census Tract 184, Bronx County, New York city, New York",1546,201,119,91,29,90,94,98,57,102,149,134,211,108,34,22,7
1,Total population,1580000US3651000005018900,3651000005018900,"Census Tract 189, Bronx County, New York city, New York",2436,689,201,154,166,226,235,114,156,47,177,146,29,38,30,9,19
1,Total population,1580000US3651000005019300,3651000005019300,"Census Tract 193, Bronx County, New York city, New York",1907,823,175,152,141,167,87,54,63,55,72,62,31,6,0,7,12
1,Total population,1580000US3651000005019400,3651000005019400,"Census Tract 194, Bronx County, New York city, New York",536,49,0,20,5,74,24,47,19,0,71,99,45,39,18,0,26
