Id,Population Group,Id,Id2,Geography,Total:,Income in 1999 below poverty level:,Income in 1999 below poverty level: - Male:,Income in 1999 below poverty level: - Male: - 15 years,Income in 1999 below poverty level: - Male: - 16 and 17 years,Income in 1999 below poverty level: - Male: - 18 to 24 years,Income in 1999 below poverty level: - Male: - 25 to 34 years,Income in 1999 below poverty level: - Male: - 35 to 44 years,Income in 1999 below poverty level: - Male: - 45 to 54 years,Income in 1999 below poverty level: - Male: - 55 to 64 years,Income in 1999 below poverty level: - Male: - 65 to 74 years,Income in 1999 below poverty level: - Male: - 75 years and over,Income in 1999 below poverty level: - Female:,Income in 1999 below poverty level: - Female: - 15 years,Income in 1999 below poverty level: - Female: - 16 and 17 years,Income in 1999 below poverty level: - Female: - 18 to 24 years,Income in 1999 below poverty level: - Female: - 25 to 34 years,Income in 1999 below poverty level: - Female: - 35 to 44 years,Income in 1999 below poverty level: - Female: - 45 to 54 years,Income in 1999 below poverty level: - Female: - 55 to 64 years,Income in 1999 below poverty level: - Female: - 65 to 74 years,Income in 1999 below poverty level: - Female: - 75 years and over,Income in 1999 at or above poverty level:,Income in 1999 at or above poverty level: - Male:,Income in 1999 at or above poverty level: - Male: - 15 years,Income in 1999 at or above poverty level: - Male: - 16 and 17 years,Income in 1999 at or above poverty level: - Male: - 18 to 24 years,Income in 1999 at or above poverty level: - Male: - 25 to 34 years,Income in 1999 at or above poverty level: - Male: - 35 to 44 years,Income in 1999 at or above poverty level: - Male: - 45 to 54 years,Income in 1999 at or above poverty level: - Male: - 55 to 64 years,Income in 1999 at or above poverty level: - Male: - 65 to 74 years,Income in 1999 at or above poverty level: - Male: - 75 years and over,Income in 1999 at or above poverty level: - Female:,Income in 1999 at or above poverty level: - Female: - 15 years,Income in 1999 at or above poverty level: - Female: - 16 and 17 years,Income in 1999 at or above poverty level: - Female: - 18 to 24 years,Income in 1999 at or above poverty level: - Female: - 25 to 34 years,Income in 1999 at or above poverty level: - Female: - 35 to 44 years,Income in 1999 at or above poverty level: - Female: - 45 to 54 years,Income in 1999 at or above poverty level: - Female: - 55 to 64 years,Income in 1999 at or above poverty level: - Female: - 65 to 74 years,Income in 1999 at or above poverty level: - Female: - 75 years and over
1,Total population,1580000US3651000005004800,3651000005004800,"Census Tract 48, Bronx County, New York city, New York",499,213,105,0,0,12,9,41,14,18,11,0,108,0,0,4,21,40,5,12,21,5,286,208,0,0,23,49,83,19,19,15,0,78,0,0,14,20,4,6,8,26,0
1,Total population,1580000US3651000005005000,3651000005005000,"Census Tract 50, Bronx County, New York city, New York",1567,735,378,0,15,58,150,81,41,21,6,6,357,0,0,57,87,53,24,41,72,23,832,487,0,0,42,120,102,78,60,76,9,345,0,0,26,95,64,32,36,24,68
1,Total population,1580000US3651000005005200,3651000005005200,"Census Tract 52, Bronx County, New York city, New York",330,195,79,0,10,11,9,8,8,12,13,8,116,11,0,0,6,8,30,39,7,15,135,50,0,0,0,17,9,16,8,0,0,85,0,0,6,17,28,0,13,21,0
1,Total population,1580000US3651000005005302,3651000005005302,"Census Tract 53.02, Bronx County, New York city, New York",544,267,87,0,7,0,15,28,16,0,13,8,180,0,0,8,10,37,39,37,28,21,277,163,0,0,14,20,67,33,0,15,14,114,0,0,0,9,20,20,17,41,7
1,Total population,1580000US3651000005005400,3651000005005400,"Census Tract 54, Bronx County, New York city, New York",735,323,199,0,26,9,29,73,44,10,0,8,124,0,0,8,19,11,29,9,9,39,412,207,0,0,11,53,58,36,31,9,9,205,0,0,22,26,9,44,22,21,61
1,Total population,1580000US3651000005005600,3651000005005600,"Census Tract 56, Bronx County, New York city, New York",577,301,138,10,0,0,45,8,9,53,13,0,163,0,0,0,8,24,40,49,14,28,276,135,0,0,13,7,0,37,15,36,27,141,0,0,0,0,33,11,42,27,28
1,Total population,1580000US3651000005005700,3651000005005700,"Census Tract 57, Bronx County, New York city, New York",52,20,6,0,6,0,0,0,0,0,0,0,14,0,0,6,8,0,0,0,0,0,32,27,0,0,0,10,5,7,5,0,0,5,0,0,0,0,0,0,5,0,0
1,Total population,1580000US3651000005005901,3651000005005901,"Census Tract 59.01, Bronx County, New York city, New York",903,421,246,0,0,28,71,88,28,20,11,0,175,0,0,38,19,30,21,25,35,7,482,260,0,0,21,42,62,32,61,35,7,222,0,0,19,74,30,39,16,27,17
1,Total population,1580000US3651000005005902,3651000005005902,"Census Tract 59.02, Bronx County, New York city, New York",632,152,56,0,0,0,24,12,8,12,0,0,96,0,4,0,15,34,0,15,7,21,480,204,0,0,0,26,56,31,63,21,7,276,0,0,0,38,38,50,76,21,53
1,Total population,1580000US3651000005006000,3651000005006000,"Census Tract 60, Bronx County, New York city, New York",166,40,6,0,0,0,6,0,0,0,0,0,34,0,7,4,14,6,0,0,3,0,126,89,0,0,0,34,19,16,14,6,0,37,0,0,19,5,5,0,8,0,0
1,Total population,1580000US3651000005006100,3651000005006100,"Census Tract 61, Bronx County, New York city, New York",1071,140,84,0,0,7,5,0,0,32,30,10,56,0,0,0,0,0,0,26,13,17,931,272,0,0,0,21,26,43,47,85,50,659,0,0,5,32,43,67,136,137,239
1,Total population,1580000US3651000005006200,3651000005006200,"Census Tract 62, Bronx County, New York city, New York",1009,566,271,0,9,30,4,88,52,33,55,0,295,0,0,11,14,32,16,50,114,58,443,211,0,0,0,26,82,44,32,16,11,232,0,0,12,37,24,45,42,35,37
1,Total population,1580000US3651000005006400,3651000005006400,"Census Tract 64, Bronx County, New York city, New York",717,287,112,0,8,20,17,29,23,15,0,0,175,0,7,22,26,33,12,8,31,36,430,213,0,0,0,42,59,31,42,29,10,217,0,0,12,20,43,47,19,38,38
1,Total population,1580000US3651000005006500,3651000005006500,"Census Tract 65, Bronx County, New York city, New York",939,434,147,0,0,14,0,37,65,21,10,0,287,0,18,51,41,74,47,9,35,12,505,347,0,0,25,121,53,64,41,43,0,158,0,0,15,37,19,14,25,19,29
1,Total population,1580000US3651000005006600,3651000005006600,"Census Tract 66, Bronx County, New York city, New York",597,186,62,0,0,0,0,44,0,8,5,5,124,0,0,28,20,22,9,34,0,11,411,269,0,0,27,94,100,23,16,9,0,142,0,0,0,31,21,12,27,19,32
1,Total population,1580000US3651000005006700,3651000005006700,"Census Tract 67, Bronx County, New York city, New York",867,482,176,0,0,0,25,97,22,11,14,7,306,0,0,76,17,30,39,29,90,25,385,197,0,0,28,64,37,29,11,23,5,188,0,0,19,27,20,39,14,54,15
1,Total population,1580000US3651000005006800,3651000005006800,"Census Tract 68, Bronx County, New York city, New York",516,230,137,0,0,8,41,36,33,0,19,0,93,0,0,23,9,7,31,0,18,5,286,179,0,0,0,87,50,30,12,0,0,107,0,0,6,10,17,7,25,42,0
1,Total population,1580000US3651000005006900,3651000005006900,"Census Tract 69, Bronx County, New York city, New York",703,348,192,0,6,7,35,70,49,14,11,0,156,0,0,5,20,37,11,27,44,12,355,225,0,0,25,39,59,18,48,20,16,130,0,0,0,21,19,19,17,45,9
1,Total population,1580000US3651000005007000,3651000005007000,"Census Tract 70, Bronx County, New York city, New York",626,232,121,0,0,0,39,44,5,28,5,0,111,0,0,44,7,0,21,15,9,15,394,278,0,0,16,62,82,91,13,0,14,116,0,0,24,8,0,64,5,0,15
1,Total population,1580000US3651000005007100,3651000005007100,"Census Tract 71, Bronx County, New York city, New York",169,69,51,0,0,0,0,34,0,11,0,6,18,0,0,0,0,0,9,0,4,5,100,46,0,0,0,0,27,0,12,7,0,54,0,0,0,0,11,16,12,6,9
1,Total population,1580000US3651000005007200,3651000005007200,"Census Tract 72, Bronx County, New York city, New York",654,167,79,0,0,0,3,49,0,10,10,7,88,0,0,7,25,3,16,8,10,19,487,186,0,0,0,59,44,34,33,8,8,301,0,0,31,12,38,61,47,23,89
1,Total population,1580000US3651000005007300,3651000005007300,"Census Tract 73, Bronx County, New York city, New York",455,144,52,0,0,5,0,6,31,0,5,5,92,7,0,7,0,6,19,37,7,9,311,175,0,0,35,55,41,20,24,0,0,136,0,0,9,17,9,25,29,23,24
1,Total population,1580000US3651000005007400,3651000005007400,"Census Tract 74, Bronx County, New York city, New York",528,127,14,0,0,0,0,0,0,14,0,0,113,0,0,0,9,28,24,19,18,15,401,245,0,0,41,57,77,8,21,27,14,156,0,0,19,17,0,20,37,34,29
1,Total population,1580000US3651000005007500,3651000005007500,"Census Tract 75, Bronx County, New York city, New York",507,187,93,0,0,8,31,21,18,0,6,9,94,0,8,21,8,0,18,8,10,21,320,155,0,0,11,22,24,46,17,9,26,165,0,0,10,17,21,49,26,22,20
